Dex No.,Name,Generation,Primary Type,Secondary Type,Health,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Catch Rate,Ability 1,Ability 2,Hidden Ability,Male Ratio,Female Ratio,Height,Weight,Egg Group 1,Egg Group 2,Sword Dens,Sheild Dens,Moonstone Evo?,-
#430,Honchkrow,Generation IV,Dark,Flying,100,125,52,105,52,71,505,30,Insomnia,Super Luck,Moxie,50,50,0.9,27.3,Flying,Unknown,Unknown,Unknown,0,
#431,Glameow,Generation IV,Normal,Unknown,49,55,42,42,37,85,310,190,Limber,Own Tempo,Keen Eye,25,75,0.5,3.9,Field,Unknown,Unknown,Unknown,0,
#432,Purugly,Generation IV,Normal,Unknown,71,82,64,64,59,112,452,75,Thick Fat,Own Tempo,Defiant,25,75,1,43.8,Field,Unknown,Unknown,Unknown,0,
#433,Chingling,Generation IV,Psychic,Unknown,45,30,50,65,50,45,285,60,Levitate,Unknown,Unknown,50,50,0.2,0.6,Undiscovered,Unknown,Unknown,Unknown,0,
#434,Stunky,Generation IV,Poison,Dark,63,63,47,41,41,74,329,225,Stench,Aftermath,Keen Eye,50,50,0.4,19.2,Field,Unknown,"29, 35, 60, 86","29, 35, 60, 86",0,
#435,Skuntank,Generation IV,Poison,Dark,103,93,67,71,61,84,479,60,Stench,Aftermath,Keen Eye,50,50,1,38,Field,Unknown,"29, 35, 60, 86","29, 35, 60, 86",0,
#436,Bronzor,Generation IV,Steel,Psychic,57,24,86,24,86,23,300,255,Levitate,Heatproof,Heavy Metal,0,0,0.5,60.5,Mineral,Unknown,"11, 12, 14, 45, 49, 68, 84, 85, 130","11, 12, 14, 45, 49, 68, 84, 85, 130",0,
#437,Bronzong,Generation IV,Steel,Psychic,67,89,116,79,116,33,500,90,Levitate,Heatproof,Heavy Metal,0,0,1.3,187,Mineral,Unknown,"11, 12, 45, 49, 68, 84, 85, 130","11, 12, 45, 49, 68, 84, 85, 130",0,
#438,Bonsly,Generation IV,Rock,Unknown,50,80,95,10,45,10,290,255,Sturdy,Rock Head,Rattled,50,50,0.5,15,Undiscovered,Unknown,"3, 51, 83, 116","3, 51, 116",0,
#439,Mimejr,Generation IV,Psychic,Fairy,20,25,45,70,90,60,310,145,Soundproof,Filter,Technician,50,50,0.6,13,Undiscovered,Unknown,"13, 14, 24","13, 14, 24",0,
#440,Happiny,Generation IV,Normal,Unknown,100,5,5,15,65,30,220,130,Natural Cure,Serene Grace,Friend Guard,25,75,0.6,24.4,Undiscovered,Unknown,141,141,0,
#441,Chatot,Generation IV,Normal,Flying,76,65,45,92,42,91,411,30,Keen Eye,Tangled Feet,Big Pecks,50,50,0.5,1.9,Flying,Unknown,Unknown,Unknown,0,
#442,Spiritomb,Generation IV,Ghost,Dark,50,92,108,92,108,35,485,100,Pressure,Unknown,Infiltrator,50,50,1,108,Amorphous,Unknown,Unknown,Unknown,0,
#443,Gible,Generation IV,Dragon,Ground,58,70,45,40,45,42,300,45,Sand Veil,Unknown,Rough Skin,50,50,0.7,20.5,Monster,Dragon,Unknown,Unknown,0,
#444,Gabite,Generation IV,Dragon,Ground,68,90,65,50,55,82,410,45,Sand Veil,Unknown,Rough Skin,50,50,1.4,56,Monster,Dragon,Unknown,Unknown,0,
#445,Garchomp,Generation IV,Dragon,Ground,108,130,95,80,85,102,600,45,Sand Veil,Unknown,Rough Skin,50,50,1.9,95,Monster,Dragon,Unknown,Unknown,0,
#446,Munchlax,Generation IV,Normal,Unknown,135,85,40,40,85,5,390,50,Pickup,Thick Fat,Gluttony,87.5,12.5,0.6,105,Undiscovered,Unknown,40,40,0,
#447,Riolu,Generation IV,Fighting,Unknown,40,70,40,35,40,60,285,75,Steadfast,Inner Focus,Prankster,87.5,12.5,0.7,20.2,Undiscovered,Unknown,"45, 48, 81, 84","45, 48, 84",0,
#448,Lucario,Generation IV,Fighting,Steel,70,110,70,115,70,90,525,45,Steadfast,Inner Focus,Justified,87.5,12.5,1.2,54,Field,HumanUndiscoveredLike,"45, 48, 81, 130","45, 48, 130",0,
#449,Hippopotas,Generation IV,Ground,Unknown,68,72,78,38,42,32,330,140,Sand Stream,Unknown,Sand Force,50,50,0.8,49.5,Field,Unknown,17,17,0,
#450,Hippowdon,Generation IV,Ground,Unknown,108,112,118,68,72,47,525,60,Sand Stream,Unknown,Sand Force,50,50,2,300,Field,Unknown,17,17,0,
#451,Skorupi,Generation IV,Poison,Bug,40,50,90,30,55,65,330,120,Battle Armor,Sniper,Keen Eye,50,50,0.8,12,Bug,Water 3,"29, 30, 60, 86, 119","29, 30, 60, 86, 119",0,
#452,Drapion,Generation IV,Poison,Dark,70,90,110,60,75,95,500,45,Battle Armor,Sniper,Keen Eye,50,50,1.3,61.5,Bug,Water 3,"29, 60, 86, 119, 120, 121","29, 60, 86, 119, 120, 121",0,
#453,Croagunk,Generation IV,Poison,Fighting,48,61,40,61,40,50,300,140,Anticipation,Dry Skin,Poison Touch,50,50,0.7,23,HumanUndiscoveredLike,Unknown,Unknown,"1, 48, 123, 124",0,
#454,Toxicroak,Generation IV,Poison,Fighting,83,106,65,86,65,85,490,75,Anticipation,Dry Skin,Poison Touch,50,50,1.3,44.4,HumanUndiscoveredLike,Unknown,Unknown,"1, 48, 123, 124",0,
#455,Carnivine,Generation IV,Grass,Unknown,74,100,72,90,72,46,454,200,Levitate,Unknown,Unknown,50,50,1.4,27,Grass,Unknown,Unknown,Unknown,0,
#456,Finneon,Generation IV,Water,Unknown,49,49,56,49,61,66,330,190,Swift Swim,Storm Drain,Water Veil,50,50,0.4,7,Water 2,Unknown,Unknown,Unknown,0,
#457,Lumineon,Generation IV,Water,Unknown,69,69,76,69,86,91,460,75,Swift Swim,Storm Drain,Water Veil,50,50,1.2,24,Water 2,Unknown,Unknown,Unknown,0,
#458,Mantyke,Generation IV,Water,Flying,45,20,50,60,120,50,345,25,Swift Swim,Water Absorb,Water Veil,50,50,1,65,Undiscovered,Unknown,"7, 67, 76","7, 67, 76",0,
#459,Snover,Generation IV,Grass,Ice,60,62,50,62,60,40,334,120,Snow Warning,Unknown,Soundproof,50,50,1,50.5,Monster,Grass,"21, 23","21, 23",0,
#460,Abomasnow,Generation IV,Grass,Ice,90,92,75,92,85,60,494,60,Snow Warning,Unknown,Soundproof,50,50,2.2,135.5,Monster,Grass,"21, 23, 112","21, 23, 112",0,
#461,Weavile,Generation IV,Dark,Ice,70,120,65,45,85,125,510,45,Pressure,Unknown,Pickpocket,50,50,1.1,34,Field,Unknown,"22, 35, 63","22, 35, 63",0,
#462,Magnezone,Generation IV,Electric,Steel,70,70,115,130,90,60,535,30,Magnet Pull,Sturdy,Analytic,0,0,1.2,180,Mineral,Unknown,"105, 106, 129","105, 106, 129",0,
#463,Lickilicky,Generation IV,Normal,Unknown,110,85,95,80,95,50,515,30,Own Tempo,Oblivious,Cloud Nine,50,50,1.7,140,Monster,Unknown,"101, 102","101, 102",0,
#464,Rhyperior,Generation IV,Ground,Rock,115,140,130,55,55,40,535,30,Lightning Rod,Solid Rock,Reckless,50,50,2.4,282.8,Monster,Field,"15, 52, 93, 115, 116","15, 52, 93, 115, 116",0,
#465,Tangrowth,Generation IV,Grass,Unknown,100,100,125,110,50,50,535,30,Chlorophyll,Leaf Guard,Regenerator,50,50,2,128.6,Grass,Unknown,"111, 112, 145, 154","111, 112, 145, 154",0,
#466,Electivire,Generation IV,Electric,Unknown,75,123,67,95,85,95,540,30,Motor Drive,Unknown,Vital Spirit,75,25,1.8,138.6,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#467,Magmortar,Generation IV,Fire,Unknown,75,95,67,125,95,83,540,30,Flame Body,Unknown,Vital Spirit,75,25,1.6,68,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#468,Togekiss,Generation IV,Fairy,Flying,85,50,95,120,115,80,545,30,Hustle,Serene Grace,Super Luck,87.5,12.5,1.5,38,Flying,Fairy,"33, 62, 74, 82, 87","33, 62, 74, 82, 87",0,
#469,Yanmega,Generation IV,Bug,Flying,86,76,86,116,56,95,515,30,Speed Boost,Tinted Lens,Frisk,50,50,1.9,51.5,Bug,Unknown,Unknown,Unknown,0,
#470,Leafeon,Generation IV,Grass,Unknown,65,110,130,60,65,95,525,45,Leaf Guard,Unknown,Chlorophyll,87.5,12.5,1,25.5,Field,Unknown,70,70,0,
#471,Glaceon,Generation IV,Ice,Unknown,65,60,110,130,95,65,525,45,Snow Cloak,Unknown,Ice Body,87.5,12.5,0.8,25.9,Field,Unknown,73,73,0,
#472,Gliscor,Generation IV,Ground,Flying,75,95,125,45,75,95,510,30,Hyper Cutter,Sand Veil,Poison Heal,50,50,2,42.5,Bug,Unknown,Unknown,Unknown,0,
#473,Mamoswine,Generation IV,Ice,Ground,110,130,80,70,60,80,530,50,Oblivious,Snow Cloak,Thick Fat,50,50,2.5,291,Field,Unknown,22,22,0,
#474,Porygon-Z,Generation IV,Normal,Unknown,85,80,70,135,75,90,535,30,Adaptability,Download,Analytic,0,0,0.9,34,Mineral,Unknown,Unknown,Unknown,0,
#475,Gallade,Generation IV,Psychic,Fighting,68,125,65,65,115,80,518,45,Steadfast,Unknown,Justified,100,0,1.6,52,Amorphous,Unknown,"48, 81",48,0,
#476,Probopass,Generation IV,Rock,Steel,60,55,145,75,150,40,525,60,Sturdy,Magnet Pull,Sand Force,50,50,1.4,340,Mineral,Unknown,Unknown,Unknown,0,
#477,Dusknoir,Generation IV,Ghost,Unknown,45,100,135,65,135,45,525,45,Pressure,Unknown,Frisk,50,50,2.2,106.6,Amorphous,Unknown,43,43,0,
#478,Froslass,Generation IV,Ice,Ghost,70,80,70,80,70,110,480,75,Snow Cloak,Unknown,Cursed Body,0,100,1.3,26.6,Fairy,Mineral,"23, 73","23, 73",0,
#479,Rotom,Generation IV,Electric,Ghost,50,50,77,95,77,91,440,45,Levitate,Unknown,Unknown,0,0,0.3,0.3,Amorphous,Unknown,57,57,0,
#479,Hrotom,Generation IV,Electric,Fire,50,65,107,105,107,86,520,45,Levitate,Unknown,Unknown,0,0,0.3,0.3,Amorphous,Unknown,57,57,0,
#479,Wrotom,Generation IV,Electric,Water,50,65,107,105,107,86,520,45,Levitate,Unknown,Unknown,0,0,0.3,0.3,Amorphous,Unknown,57,57,0,
#479,Frotom,Generation IV,Electric,Ice,50,65,107,105,107,86,520,45,Levitate,Unknown,Unknown,0,0,0.3,0.3,Amorphous,Unknown,57,57,0,
#479,Fanrotom,Generation IV,Electric,Flying,50,65,107,105,107,86,520,45,Levitate,Unknown,Unknown,0,0,0.3,0.3,Amorphous,Unknown,57,57,0,
#479,Mrotom,Generation IV,Electric,Grass,50,65,107,105,107,86,520,45,Levitate,Unknown,Unknown,0,0,0.3,0.3,Amorphous,Unknown,57,57,0,
#480,Uxie,Generation IV,Psychic,Unknown,75,75,130,75,130,95,580,3,Levitate,Unknown,Unknown,0,0,0.3,0.3,Undiscovered,Unknown,Unknown,Unknown,0,
#481,Mesprit,Generation IV,Psychic,Unknown,80,105,105,105,105,80,580,3,Levitate,Unknown,Unknown,0,0,0.3,0.3,Undiscovered,Unknown,Unknown,Unknown,0,
#482,Azelf,Generation IV,Psychic,Unknown,75,125,70,125,70,115,580,3,Levitate,Unknown,Unknown,0,0,0.3,0.3,Undiscovered,Unknown,Unknown,Unknown,0,
#483,Dialga,Generation IV,Steel,Dragon,100,120,120,150,100,90,680,3,Pressure,Unknown,Telepathy,0,0,5.4,683,Undiscovered,Unknown,Unknown,Unknown,0,
#484,Palkia,Generation IV,Water,Dragon,90,120,100,150,120,100,680,3,Pressure,Unknown,Telepathy,0,0,4.2,336,Undiscovered,Unknown,Unknown,Unknown,0,
#485,Heatran,Generation IV,Fire,Steel,91,90,106,130,106,77,600,3,Flash Fire,Unknown,Flame Body,50,50,1.7,430,Undiscovered,Unknown,Unknown,Unknown,0,
#486,Regigigas,Generation IV,Normal,Unknown,110,160,110,80,110,100,670,3,Slow Start,Unknown,Unknown,0,0,3.7,420,Undiscovered,Unknown,Unknown,Unknown,0,
#487,Giratina,Generation IV,Ghost,Dragon,150,100,120,100,120,90,680,3,Pressure,Unknown,Telepathy,0,0,4.5,750,Undiscovered,Unknown,Unknown,Unknown,0,
#487,Ogiratina,Generation IV,Ghost,Dragon,150,120,100,120,100,90,680,3,Levitate,Unknown,Unknown,0,0,6.9,650,Undiscovered,Unknown,Unknown,Unknown,0,
#488,Cresselia,Generation IV,Psychic,Unknown,120,70,120,75,130,85,600,3,Levitate,Unknown,Unknown,0,100,1.5,85.6,Undiscovered,Unknown,Unknown,Unknown,0,
#489,Phione,Generation IV,Water,Unknown,80,80,80,80,80,80,480,30,Hydration,Unknown,Unknown,0,0,0.4,3.1,Undiscovered,Unknown,Unknown,Unknown,0,
#490,Manaphy,Generation IV,Water,Unknown,100,100,100,100,100,100,600,3,Hydration,Unknown,Unknown,0,0,0.3,1.4,Undiscovered,Unknown,Unknown,Unknown,0,
#491,Darkrai,Generation IV,Dark,Unknown,70,90,90,135,90,125,600,3,Bad Dreams,Unknown,Unknown,0,0,1.5,50.5,Undiscovered,Unknown,Unknown,Unknown,0,
#492,Shaymin,Generation IV,Grass,Unknown,100,100,100,100,100,100,600,45,Natural Cure,Unknown,Unknown,0,0,0.2,2.1,Undiscovered,Unknown,Unknown,Unknown,0,
#492,Sshaymin,Generation IV,Grass,Flying,100,103,75,120,75,127,600,45,Serene Grace,Unknown,Unknown,0,0,0.4,5.2,Undiscovered,Unknown,Unknown,Unknown,0,
#493,Arceus,Generation IV,Normal,Unknown,120,120,120,120,120,120,720,3,Multitype,Unknown,Unknown,0,0,3.2,320,Undiscovered,Unknown,Unknown,Unknown,0,
#494,Victini,Generation V,Psychic,Fire,100,100,100,100,100,100,600,3,Victory Star,Unknown,Unknown,0,0,0.4,4,Undiscovered,Unknown,Unknown,Unknown,0,
#495,Snivy,Generation V,Grass,Unknown,45,45,55,45,55,63,308,45,Overgrow,Unknown,Contrary,87.5,12.5,0.6,8.1,Field,Grass,Unknown,Unknown,0,
#496,Servine,Generation V,Grass,Unknown,60,60,75,60,75,83,413,45,Overgrow,Unknown,Contrary,87.5,12.5,0.8,16,Field,Grass,Unknown,Unknown,0,
#497,Serperior,Generation V,Grass,Unknown,75,75,95,75,95,113,528,45,Overgrow,Unknown,Contrary,87.5,12.5,3.3,63,Field,Grass,Unknown,Unknown,0,
#498,Tepig,Generation V,Fire,Unknown,65,63,45,45,45,45,308,45,Blaze,Unknown,Thick Fat,87.5,12.5,0.5,9.9,Field,Unknown,Unknown,Unknown,0,
#499,Pignite,Generation V,Fire,Fighting,90,93,55,70,55,55,418,45,Blaze,Unknown,Thick Fat,87.5,12.5,1,55.5,Field,Unknown,Unknown,Unknown,0,
#500,Emboar,Generation V,Fire,Fighting,110,123,65,100,65,65,528,45,Blaze,Unknown,Thick Fat,87.5,12.5,1.6,150,Field,Unknown,Unknown,Unknown,0,
#501,Oshawott,Generation V,Water,Unknown,55,55,45,63,45,45,308,45,Torrent,Unknown,Shell Armor,87.5,12.5,0.5,5.9,Field,Unknown,Unknown,Unknown,0,
#502,Dewott,Generation V,Water,Unknown,75,75,60,83,60,60,413,45,Torrent,Unknown,Shell Armor,87.5,12.5,0.8,24.5,Field,Unknown,Unknown,Unknown,0,
#503,Samurott,Generation V,Water,Unknown,95,100,85,108,70,70,528,45,Torrent,Unknown,Shell Armor,87.5,12.5,1.5,94.6,Field,Unknown,Unknown,Unknown,0,
#504,Patrat,Generation V,Normal,Unknown,45,55,39,35,39,42,255,255,Run Away,Keen Eye,Analytic,50,50,0.5,11.6,Field,Unknown,Unknown,Unknown,0,
#505,Watchog,Generation V,Normal,Unknown,60,85,69,60,69,77,420,255,Illuminate,Keen Eye,Analytic,50,50,1.1,27,Field,Unknown,Unknown,Unknown,0,
#506,Lillipup,Generation V,Normal,Unknown,45,60,45,25,45,55,275,255,Vital Spirit,Pickup,Run Away,50,50,0.4,4.1,Field,Unknown,"99, 100","99, 100",0,
#507,Herdier,Generation V,Normal,Unknown,65,80,65,35,65,60,370,120,Intimidate,Sand Rush,Scrappy,50,50,0.9,14.7,Field,Unknown,99,99,0,
#508,Stoutland,Generation V,Normal,Unknown,85,100,90,45,90,80,490,45,Intimidate,Sand Rush,Scrappy,50,50,1.2,61,Field,Unknown,"99, 100","99, 100",0,
#509,Purrloin,Generation V,Dark,Unknown,41,50,37,50,37,66,281,255,Limber,Unburden,Prankster,50,50,0.4,10.1,Field,Unknown,"35, 36","35, 36",0,
#510,Liepard,Generation V,Dark,Unknown,64,88,50,88,50,106,446,90,Limber,Unburden,Prankster,50,50,1.1,37.5,Field,Unknown,"35, 63, 69, 88, 122","35, 63, 69, 88, 122",0,
#511,Pansage,Generation V,Grass,Unknown,50,53,48,53,48,64,316,190,Gluttony,Unknown,Overgrow,87.5,12.5,0.6,10.5,Field,Unknown,Unknown,Unknown,0,
#512,Simisage,Generation V,Grass,Unknown,75,98,63,98,63,101,498,75,Gluttony,Unknown,Overgrow,87.5,12.5,1.1,30.5,Field,Unknown,Unknown,Unknown,0,
#513,Pansear,Generation V,Fire,Unknown,50,53,48,53,48,64,316,190,Gluttony,Unknown,Blaze,87.5,12.5,0.6,11,Field,Unknown,Unknown,Unknown,0,
#514,Simisear,Generation V,Fire,Unknown,75,98,63,98,63,101,498,75,Gluttony,Unknown,Blaze,87.5,12.5,1,28,Field,Unknown,Unknown,Unknown,0,
#515,Panpour,Generation V,Water,Unknown,50,53,48,53,48,64,316,190,Gluttony,Unknown,Torrent,87.5,12.5,0.6,13.5,Field,Unknown,Unknown,Unknown,0,
#516,Simipour,Generation V,Water,Unknown,75,98,63,98,63,101,498,75,Gluttony,Unknown,Torrent,87.5,12.5,1,29,Field,Unknown,Unknown,Unknown,0,
#517,Munna,Generation V,Psychic,Unknown,76,25,45,67,55,24,292,190,Forewarn,Synchronize,Telepathy,50,50,0.6,23.3,Field,Unknown,2,2,1,
#518,Musharna,Generation V,Psychic,Unknown,116,55,85,107,95,29,487,75,Forewarn,Synchronize,Telepathy,50,50,1.1,60.5,Field,Unknown,"2, 118","2, 118",0,
#519,Pidove,Generation V,Normal,Flying,50,55,50,36,30,43,264,255,Big Pecks,Super Luck,Rivalry,50,50,0.3,2.1,Flying,Unknown,"31, 39, 65, 108","31, 39, 65, 108",0,
#520,Tranquill,Generation V,Normal,Flying,62,77,62,50,42,65,358,120,Big Pecks,Super Luck,Rivalry,50,50,0.6,15,Flying,Unknown,"31, 65, 108","31, 65, 108",0,
#521,Unfezant,Generation V,Normal,Flying,80,105,80,65,55,93,478,45,Big Pecks,Super Luck,Rivalry,50,50,1.2,29,Flying,Unknown,"31, 39, 65, 108","31, 39, 65, 108",0,
#522,Blitzle,Generation V,Electric,Unknown,45,60,32,50,32,76,295,190,Lightning Rod,Motor Drive,Sap Sipper,50,50,0.8,29.8,Field,Unknown,Unknown,Unknown,0,
#523,Zebstrika,Generation V,Electric,Unknown,75,100,63,80,63,116,497,75,Lightning Rod,Motor Drive,Sap Sipper,50,50,1.6,79.5,Field,Unknown,Unknown,Unknown,0,
#524,Roggenrola,Generation V,Rock,Unknown,55,75,85,25,25,15,280,255,Sturdy,Weak Armor,Sand Force,50,50,0.4,18,Mineral,Unknown,"3, 15, 115","3, 15, 51, 115",0,
#525,Boldore,Generation V,Rock,Unknown,70,105,105,50,40,20,390,120,Sturdy,Weak Armor,Sand Force,50,50,0.9,102,Mineral,Unknown,"3, 15, 115","3, 15, 115",0,
#526,Gigalith,Generation V,Rock,Unknown,85,135,130,60,70,25,505,45,Sturdy,Sand Stream,Sand Force,50,50,1.7,260,Mineral,Unknown,"3, 15, 115, 116","3, 15, 115, 116",0,
#527,Woobat,Generation V,Psychic,Flying,55,45,43,55,43,72,313,190,Unaware,Klutz,Simple,50,50,0.4,2.1,Field,Flying,"31, 50, 68, 107","31, 50, 68, 107",0,
#528,Swoobat,Generation V,Psychic,Flying,67,57,55,77,55,114,425,45,Unaware,Klutz,Simple,50,50,0.9,10.5,Field,Flying,"31, 50, 68, 107, 108","31, 50, 68, 107, 108",0,
#529,Drilbur,Generation V,Ground,Unknown,60,85,40,30,45,68,328,120,Sand Rush,Sand Force,Mold Breaker,50,50,0.3,8.5,Field,Unknown,"16, 150","16, 150",0,
#530,Excadrill,Generation V,Ground,Steel,110,135,60,50,65,88,508,60,Sand Rush,Sand Force,Mold Breaker,50,50,0.7,40.4,Field,Unknown,"16, 150","16, 150",0,
#531,Audino,Generation V,Normal,Unknown,103,60,86,60,86,50,445,255,Healer,Regenerator,Klutz,50,50,1.1,31,Fairy,Unknown,Unknown,Unknown,0,
#532,Timburr,Generation V,Fighting,Unknown,75,80,55,25,35,35,305,180,Guts,Sheer Force,Iron Fist,75,25,0.6,12.5,HumanUndiscoveredLike,Unknown,1,1,0,
#533,Gurdurr,Generation V,Fighting,Unknown,85,105,85,40,50,40,405,90,Guts,Sheer Force,Iron Fist,75,25,1.2,40,HumanUndiscoveredLike,Unknown,1,1,0,
#534,Conkeldurr,Generation V,Fighting,Unknown,105,140,95,55,65,45,505,45,Guts,Sheer Force,Iron Fist,75,25,1.4,87,HumanUndiscoveredLike,Unknown,1,1,0,
#535,Tympole,Generation V,Water,Unknown,50,50,40,50,40,64,294,255,Swift Swim,Hydration,Water Absorb,50,50,0.5,4.5,Water 1,Unknown,"9, 41, 136","9, 41, 136",0,
#536,Palpitoad,Generation V,Water,Ground,75,65,55,65,55,69,384,120,Swift Swim,Hydration,Water Absorb,50,50,0.8,17,Water 1,Unknown,"9, 41, 52, 93, 136","9, 41, 52, 93, 136",0,
#537,Seismitoad,Generation V,Water,Ground,105,85,75,85,75,74,499,45,Swift Swim,Poison Touch,Water Absorb,50,50,1.5,62,Water 1,Unknown,"9, 41, 52, 93, 136","9, 41, 52, 93, 136",0,
#538,Throh,Generation V,Fighting,Unknown,120,100,85,30,85,45,465,45,Guts,Inner Focus,Mold Breaker,100,0,1.3,55.5,HumanUndiscoveredLike,Unknown,Unknown,"10, 124",0,
#539,Sawk,Generation V,Fighting,Unknown,75,125,75,30,75,85,465,45,Sturdy,Inner Focus,Mold Breaker,100,0,1.4,51,HumanUndiscoveredLike,Unknown,"10, 124",Unknown,0,
#540,Sewaddle,Generation V,Bug,Grass,45,53,70,40,60,42,310,255,Swarm,Chlorophyll,Overcoat,50,50,0.3,2.5,Bug,Unknown,Unknown,Unknown,0,
#541,Swadloon,Generation V,Bug,Grass,55,63,90,50,80,42,380,120,Leaf Guard,Chlorophyll,Overcoat,50,50,0.5,7.3,Bug,Unknown,Unknown,Unknown,0,
#542,Leavanny,Generation V,Bug,Grass,75,103,80,70,70,92,490,45,Swarm,Chlorophyll,Overcoat,50,50,1.2,20.5,Bug,Unknown,Unknown,Unknown,0,
#543,Venipede,Generation V,Bug,Poison,30,45,59,30,39,57,260,255,Poison Point,Swarm,Speed Boost,50,50,0.4,5.3,Bug,Unknown,119,119,0,
#544,Whirlipede,Generation V,Bug,Poison,40,55,99,40,79,47,360,120,Poison Point,Swarm,Speed Boost,50,50,1.2,58.5,Bug,Unknown,"110, 119, 120","110, 119, 120",0,
#545,Scolipede,Generation V,Bug,Poison,60,90,89,55,69,112,475,45,Poison Point,Swarm,Speed Boost,50,50,2.5,200.5,Bug,Unknown,"110, 119, 120","110, 119, 120",0,
#546,Cottonee,Generation V,Grass,Fairy,40,27,60,37,50,66,280,190,Prankster,Infiltrator,Chlorophyll,50,50,0.3,0.6,Grass,Fairy,"27, 59, 70","27, 59, 70",0,
#547,Whimsicott,Generation V,Grass,Fairy,60,67,85,77,75,116,480,75,Prankster,Infiltrator,Chlorophyll,50,50,0.7,6.6,Grass,Fairy,"27, 59, 70","27, 59, 70",0,
#548,Petilil,Generation V,Grass,Unknown,45,35,50,70,50,30,280,190,Chlorophyll,Own Tempo,Leaf Guard,0,100,0.5,6.6,Grass,Unknown,111,111,0,
#549,Lilligant,Generation V,Grass,Unknown,70,60,75,110,75,90,480,75,Chlorophyll,Own Tempo,Leaf Guard,0,100,1.1,16.3,Grass,Unknown,"111, 112","111, 112",0,
#550,Basculin,Generation V,Water,Unknown,70,92,65,80,55,98,460,25,Reckless(Red_Strip)    Adaptability(Blue_Strip),Adaptability,Mold Breaker,50,50,1,18,Water 2,Unknown,"7, 8, 44, 67, 76, 78, 91, 136, 148","7, 8, 44, 67, 76, 78, 91, 136, 148",0,
#551,Sandile,Generation V,Ground,Dark,50,72,35,35,35,65,292,180,Intimidate,Moxie,Anger Point,50,50,0.7,15.2,Field,Unknown,103,103,0,
#552,Krokorok,Generation V,Ground,Dark,60,82,45,45,45,74,351,90,Intimidate,Moxie,Anger Point,50,50,1,33.4,Field,Unknown,"103, 104, 122, 150","103, 104, 122, 150",0,
#553,Krookodile,Generation V,Ground,Dark,95,117,70,65,70,92,509,45,Intimidate,Moxie,Anger Point,50,50,1.5,96.3,Field,Unknown,"103, 104, 122, 150","103, 104, 122, 150",0,
#554,Darumaka,Generation V,Fire,Unknown,70,90,45,15,45,50,315,120,Hustle,Unknown,Inner Focus,50,50,0.6,37.5,Field,Unknown,Unknown,Unknown,0,
#555,Darmanitan,Generation V,Fire,Unknown,105,140,55,30,55,95,480,60,Sheer Force,Unknown,Zen Mode,50,50,1.3,92.9,Field,Unknown,Unknown,Unknown,0,
#555,Darmanitanzen,Generation V,Fire,Psychic,105,30,105,140,105,55,540,60,Unknown,Unknown,Zen Mode,50,50,1.3,92.9,Field,Unknown,Unknown,Unknown,0,
#556,Maractus,Generation V,Grass,Unknown,75,86,67,106,67,60,461,255,Water Absorb,Chlorophyll,Storm Drain,50,50,1,28,Grass,Unknown,"28, 112","28, 112",0,
#557,Dwebble,Generation V,Bug,Rock,50,65,85,35,35,55,325,190,Sturdy,Shell Armor,Weak Armor,50,50,0.3,14.5,Bug,Mineral,"3, 15, 46, 51, 90, 92, 109","3, 15, 51, 83, 90, 92, 109",0,
#558,Crustle,Generation V,Bug,Rock,70,95,125,65,75,45,475,75,Sturdy,Shell Armor,Weak Armor,50,50,1.4,200,Bug,Mineral,"3, 15, 51, 83, 109, 110, 115, 116","3, 15, 51, 109, 110, 115, 116",0,
#559,Scraggy,Generation V,Dark,Fighting,50,75,70,35,70,48,348,180,Shed Skin,Moxie,Intimidate,50,50,0.6,11.8,Field,Dragon,"1, 48, 63, 88, 123, 124","1, 48, 63, 88, 123, 124",0,
#560,Scrafty,Generation V,Dark,Fighting,65,90,115,45,115,58,488,90,Shed Skin,Moxie,Intimidate,50,50,1.1,30,Field,Dragon,"1, 48, 63, 88, 123, 124","1, 48, 63, 88, 123, 124",0,
#561,Sigilyph,Generation V,Psychic,Flying,72,58,80,103,80,97,490,45,Wonder Skin,Magic Guard,Tinted Lens,50,50,1.4,14,Flying,Unknown,"13, 14, 31, 89","13, 14, 31, 89",0,
#562,Yamask,Generation V,Ghost,Unknown,38,30,85,55,65,30,303,190,Mummy,Unknown,Unknown,50,50,0.5,1.5,Mineral,Amorphous,Unknown,Unknown,0,
#563,Cofagrigus,Generation V,Ghost,Unknown,58,50,145,95,105,30,483,90,Mummy,Unknown,Unknown,50,50,1.7,76.5,Mineral,Amorphous,Unknown,Unknown,0,
#564,Tirtouga,Generation V,Water,Rock,54,78,103,53,45,22,355,45,Solid Rock,Sturdy,Swift Swim,87.5,12.5,0.7,16.5,Water 1,Water 3,Unknown,Unknown,0,
#565,Carracosta,Generation V,Water,Rock,74,108,133,83,65,32,495,45,Solid Rock,Sturdy,Swift Swim,87.5,12.5,1.2,81,Water 1,Water 3,Unknown,Unknown,0,
#566,Archen,Generation V,Rock,Flying,55,112,45,74,45,70,401,45,Defeatist,Unknown,Unknown,87.5,12.5,0.5,9.5,Flying,Water 3,Unknown,Unknown,0,
